RXCUI,TenThuoc
11431,zinc-DTPA
11454,glucomannan
11473,pamidronate
11516,doxercalciferol
11636,drospirenone
11645,deferiprone
12574,gemcitabine
13369,octinoxate
14448,3-iodobenzylguanidine
14584,etonogestrel
14845,apraclonidine
14851,vigabatrin
14997,4-cresyl acetate
15202,argatroban
15226,fomepizole
15657,decitabine
15996,mirtazapine
16054,kinetin
16521,adefovir
16681,acarbose
16728,acetohydroxamic acid
16818,acitretin
17050,adipic acid
17128,lansoprazole
17300,alfuzosin
17305,alginic acid
17609,aluminum acetate
17610,aluminum chlorohydrate
17614,aluminum magnesium silicate
17618,aluminum phosphate
17621,aluminum sulfate
17652,amcinonide
17767,amlodipine
18235,peanut oil
18330,arsenic trioxide
18343,artemether
18346,artesunate
18405,asiaticoside
18451,astaxanthin
18475,atipamezole
18603,azelastine
18631,azithromycin
18747,balsalazide
18867,benazepril
18889,benoxinate
18891,benphothiamine
18993,benzonatate
18994,benznidazole
18997,benzophenone
19044,benzyl benzoate
19143,beta carotene
19257,bethanechol
19461,bisabolol
19476,bismuth subgallate
19478,bismuth subsalicylate
19484,bisoprolol
19551,pemirolast
19552,cefprozil
19685,bretylium
19698,brilliant green
19737,bromfenac
19831,budesonide
19860,butalbital
19861,butamben
19884,butoconazole
20012,cadexomer iodine
20063,calcium polycarbophil
20178,octanoic acid
20217,carbetapentane
20220,carbinoxamine
20298,carboxypolymethylene
20343,carprofen
20352,carvedilol
20481,cefepime
20489,cefpodoxime
20599,cesium chloride
20610,cetirizine
20615,cetyl alcohol
20799,chlorine dioxide
20823,chlorocresol
20859,chloroprocaine
20877,chloroxylenol
21009,chromic chloride
21090,ciclopirox
21107,cilostazol
21116,eucalyptol
21183,citric acid
21212,clarithromycin
21232,clidinium
21241,clobazam
21249,clocortolone
21254,chlophedianol
21373,cobamamide
21389,cocoa butter
21406,ubidecarenone
21579,copper sulfate
21766,crotamiton
21833,cupric chloride
21837,cupric oxide
21842,cuprous oxide
21949,cyclobenzaprine
22178,cytomegalovirus immune globulin
22298,dapiprazole
22299,daptomycin
22380,decanoic acid
22396,deflazacort
22656,desogestrel
22672,detomidine
22696,dexbrompheniramine
22697,dexchlorpheniramine
22701,dexpanthenol
22892,dichloralphenazone
22906,dichlorobenzyl alcohol
22968,dienogest
23024,difenoxin
23043,difluprednate
